,"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",Добыча полезных ископаемых,Обрабатывающие производства,"Обеспечение электрическое энергией, газом и паром; кондиционирование воздуха","Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",Строи-тельство,Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,Транспортировка и хранение,Деятельность гостиниц и предприятий общественного питания,Деятельность в области информации и связи,Деятельность по операциям с недвижимым имуществом,Образо-вание,Деятельность в области здравоохранения и социальных услуг,Другие виды деятельности,Использование
"Сельское, лесное хозяйство, охота, рыболовство и рыбоводство",11888.465358362128,0.5452730841666887,29979.669725403503,39.6463816635793,0.6387709183176044,159.9908226746159,90.07734566475413,79.2395324172988,519.4804493217916,0.6068323724017239,4.56721206597087,84.19000703426025,89.65149838587577,498.9652566618244,80522.94162221442
Добыча полезных ископаемых,13.059125349290197,1337.8814646600943,22099.810250495088,3390.941404374095,10.757060580536573,668.7171482936564,1035.698555144266,487.78792428133016,0.4573384098191683,0.26902259401127543,4.715581755026214,2.1444943922613104,4.465775060587172,58.078134867119914,77006.54292368722
Обрабатывающие производства,13535.526809926145,5238.4444464707285,143085.51111626814,5361.49292468184,3115.6677135242608,39345.819329366575,7769.73838577349,22050.29219495913,4118.887884626958,2540.377939535384,3929.2394736350157,1325.9853538170353,4270.599498047413,13265.88974634912,670262.104102452
"Обеспечение электрическое энергией, газом и паром; кондиционирование воздуха",1414.1019929574793,2310.559132868246,15384.678296922699,26865.183272448798,873.1972117269336,792.5420323912716,2035.1844634835325,4234.19880755239,433.24601621983794,573.8007971883327,3781.111556259804,1651.0996026743596,1029.97649469808,3239.3838666621846,71943.57737664861
"Водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",57.69320196688894,84.32766784264834,4392.573859029507,594.9168718509277,1371.2256104970756,158.67598249010652,319.32951163699073,159.58112822355707,64.53098767067267,47.05773959884545,859.8490926156592,182.71153712944997,171.72188730049106,902.7549680893294,11188.574503780656
Строи-тельство,206.6810915590626,1693.523369320141,2091.0450174447487,1071.3175906921492,245.6186190186725,2515.600187182132,545.1345397431345,1720.859269666271,155.61278020949663,112.92157622544752,3621.061879423372,1495.4006401764161,1034.4674735924714,5745.496307318437,154992.39010102747
Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов,3935.99929537742,1163.0319272394493,40393.32555027226,10018.689437200856,1095.3174734299707,10428.995933590202,9229.382265674503,6033.549220711047,1270.5149546451755,863.2511563849781,1955.1893500343433,492.05544789466757,2765.9472320584455,5031.532181064322,369555.24378240627
Транспортировка и хранение,2046.0233846756942,6718.795674288443,36117.17405466338,1038.813149055985,633.3207735546696,4464.445401245825,41073.660566720064,37186.22988466212,290.3761107064502,674.9700020144614,309.5151466803953,262.292093708893,577.636252047318,9368.309637550992,174374.06997544767
Деятельность гостиниц и предприятий общественного питания,12.51068820277899,49.56650872702193,333.4704460140389,59.67468403989909,5.292150978511181,183.72097139305887,241.46926918720132,229.49970071637648,44.90829333073988,94.92322337938968,14.004178662972327,355.1152352922033,450.88260545344133,1683.780625132321,29594.873305216468
Деятельность в области информации и связи,110.82588899804259,172.8634214435396,3450.6080902075664,789.787141165087,62.95201464229821,541.624654058021,3935.1491862920316,1650.52937980606,154.9095783298364,22528.02464821762,708.8967158580743,884.1404493101082,503.65773180976606,14273.153821162941,76962.6518653686
Деятельность по операциям с недвижимым имуществом,330.63873183963574,2097.671481670601,5232.365902402057,1340.706327119737,253.4618955409958,1571.0941256915155,29808.675883307675,12607.825571496604,2912.984618993913,4318.326765949525,19364.07696225669,485.9942979812582,998.9147684831116,10372.37933741998,218384.536095958
Образо-вание,9.384802623926577,23.40525444972015,171.5479004775852,49.13914111326918,4.928332104184905,43.55544569735755,102.4201783566512,198.50954712202238,5.033190234061181,41.982573749213444,9.057120968063218,820.8585311581668,170.2240665878973,556.4558807209202,84083.86124579294
Деятельность в области здравоохранения и социальных услуг,13.394498584921218,26.783576819013764,127.78617846012007,34.70227817665226,7.913281006809827,25.748412817265,84.16633437824026,113.0969993435037,17.810932174348718,25.60321500062628,6.195106843251728,190.33013797724547,564.7902794654192,656.8507228374283,93564.23810148585
Другие виды деятельности,2829.267180329012,2961.745586752964,24310.89628476996,3979.543883261975,835.0385318147638,11692.849844262226,23467.141248182037,12598.132377644974,2045.503750387642,4979.920333175918,5200.248369490063,1225.4303020689533,1763.6875990773444,49288.034454894885,470946.1113733251
ВДС,53549.295999999995,43684.952000000005,181785.768,33820.608,8455.152,54958.488,209969.608,215606.37600000002,15501.112000000005,54958.488,176149.0,54958.488,63413.64,242381.02399999998,0
Остальное,34005.80803749254,38557.229418307616,430259.3462466025,48106.67843385772,3585.043110384806,49695.2621514456,134525.18947443936,179.92456841960666,5818.323000465669,34969.250761283474,94162.9250195626,21874.127080540697,17649.14689330304,260801.46217870602,0
